Zeit	KanalA	KanalB
49.03999970	232.33740000	232.20010000
49.11999970	227.88170000	232.20010000
49.19999970	232.33740000	232.20010000
49.27999970	227.88170000	227.74440000
49.35999970	227.88170000	232.20010000
49.43999970	232.33740000	232.20010000
49.51999970	227.88170000	227.74440000
49.59999970	227.88170000	227.74440000
49.67999970	227.88170000	227.74440000
49.75999970	227.88170000	227.74440000
49.83999970	227.88170000	227.74440000
49.91999970	227.88170000	227.74440000
49.99999970	227.88170000	227.74440000
50.07999970	227.88170000	227.74440000
50.15999970	227.88170000	227.74440000
50.23999969	227.88170000	227.74440000
50.31999969	227.88170000	227.74440000
50.39999969	227.88170000	227.74440000
50.47999969	227.88170000	227.74440000
50.55999969	227.88170000	227.74440000
50.63999969	227.88170000	227.74440000
50.71999969	227.88170000	227.74440000
50.79999969	227.88170000	227.74440000
50.87999969	227.88170000	227.74440000
50.95999969	227.88170000	227.74440000
51.03999969	227.88170000	227.74440000
51.11999969	227.88170000	227.74440000
51.19999969	227.88170000	227.74440000
51.27999969	236.79310000	236.67100000
51.35999969	254.61590000	258.98000000
51.43999969	245.70450000	250.05340000
51.51999969	241.24880000	245.59770000
51.59999969	241.24880000	245.59770000
51.67999969	241.24880000	245.59770000
51.75999969	241.24880000	241.12670000
51.83999968	241.24880000	245.59770000
51.91999968	227.88170000	232.20010000
51.99999968	223.41070000	227.74440000
52.07999968	227.88170000	227.74440000
52.15999968	227.88170000	227.74440000
52.23999968	232.33740000	232.20010000
52.31999968	236.79310000	236.67100000
52.39999968	227.88170000	227.74440000
52.47999968	227.88170000	227.74440000
52.55999968	227.88170000	227.74440000
52.63999968	232.33740000	232.20010000
52.71999968	232.33740000	236.67100000
52.79999968	232.33740000	232.20010000
52.87999968	227.88170000	227.74440000
52.95999968	227.88170000	227.74440000
53.03999968	227.88170000	227.74440000
53.11999968	232.33740000	232.20010000
53.19999968	232.33740000	232.20010000
53.27999968	227.88170000	227.74440000
53.35999968	227.88170000	227.74440000
53.43999968	232.33740000	227.74440000
53.51999967	232.33740000	232.20010000
